sl_no,company,country,country_code,market_cap,diversity,stock_price_2015,stock_price_2016,stock_price_2017,stock_price_2018,stock_price_2019,stock_price_2020,stock_price_2021,stock_price_2022,stock_price_2023,stock_price_2024,expense_2015,expense_2016,expense_2017,expense_2018,expense_2019,expense_2020,expense_2021,expense_2022,expense_2023,expense_2024,revenue_2015,revenue_2016,revenue_2017,revenue_2018,revenue_2019,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024,market_share_2015,market_share_2016,market_share_2017,market_share_2018,market_share_2019,market_share_2020,market_share_2021,market_share_2022,market_share_2023,market_share_2024
684,Mydeo,Russia,RUB,345190000.0,45.6,101690000.0,13040000.0,19680000000.0,17940000000.0,1120000000.0,402840000.0,30650000.0,0.0,0.0,2109999999.9999998,16348146.59,89854741.03,18587829.31,48169178.58,33254109.93,13040788.67,28995020.17,55018404.81,37286905.64,24650035.11,16204612.47,6035287.66,43676895.52,62553244.26,32102046.11,28232065.83,46748980.12,33860199.61,82962035.67,13627431.15,11.83,22.38,55.2,81.26,79.17,74.75,9.75,15.96,69.0,8.59
434,Jabbersphere,Sweden,SEK,2240000000.0,57.2,101860000.0,2960000000.0,0.0,12630000.0,2600000000.0,2009999999.9999998,1090000000.0,0.0,7930000000.0,4139999999.9999995,19285127.72,83763510.71,50537724.47,97337335.43,80474701.2,72017717.04,87537945.28,99673535.85,20980089.36,32302246.02,49055104.93,31203279.37,50274152.36,10909705.25,70077250.62,11521286.14,72664818.66,63212799.79,23475519.56,64020498.71,59.5,87.68,55.72,3.37,57.53,98.36,20.97,18.54,7.31,59.5
432,Realmix,China,CNY,0.0,25.1,1020000000.0,388890000.0,508590000.0,0.0,5650000000.0,8180000000.0,0.0,94270000.0,588870000.0,1530000000.0,33976605.76,13438024.89,93751351.16,29094921.82,15440382.83,1792690.33,17632898.74,68846082.87,81908775.48,93707304.62,84648254.92,63789884.28,82340932.09,74858721.79,82860676.3,10657286.07,53514310.82,22094898.69,69342338.64,85646880.07,94.77,50.1,63.55,71.58,11.75,19.8,57.52,37.27,31.81,46.48
226,Jabbersphere,Poland,PLN,89930000000.0,88.6,1020000000.0,191020000.0,1070000000.0000001,2109999999.9999998,7520000.0,613790000.0,613790000.0,0.0,1630000000.0,864500000.0,65506013.38,90587182.42,47897705.15,59744012.12,40833023.58,8802582.71,38141365.63,48827897.32,7192006.96,98069989.42,24907979.13,26872636.1,78534652.36,93656222.61,82471946.16,88558144.15,85516071.72,55142931.64,58289606.8,27471415.06,98.83,74.24,49.47,20.69,29.87,89.35,30.08,10.07,8.34,75.5
856,Gabtune,China,CNY,8289999999.999999,89.9,1020000000.0,1930000000.0,888390000.0,947480000.0,0.0,311180000.0,0.0,167890000.0,3590000000.0,1450000000.0,61074189.93,35357571.71,44844511.54,82251781.58,19257403.2,31583565.64,79224751.63,92151899.2,96196667.6,54914495.21,32709051.51,59419657.18,15078928.63,83582650.66,85746390.34,51046242.58,99150445.5,83731839.46,22990185.16,72973640.36,34.21,81.65,14.8,37.54,70.1,51.41,74.32,52.3,28.19,31.69
520,Wikido,China,CNY,276460000.0,73.6,1030000000.0,144380000.0,6300000000.0,3280000000.0,0.0,423700000.0,22560000000.0,1100000000.0,156370000.0,24060000000.0,97624463.33,1825165.79,29021643.6,22903964.74,71395837.03,17156789.48,66741297.02,79825651.64,30612283.09,50662726.74,62652459.22,2368331.24,98440885.83,26384713.52,68514714.11,92756714.11,40659891.84,27950400.75,74975997.45,10434031.71,56.88,45.92,82.49,83.43,90.96,93.69,74.0,77.69,30.16,37.82
982,Meezzy,Iran,IRR,26260000.0,81.9,1030000000.0,85510000.0,69130000.0,6030000000.0,1640000000.0,0.0,1800000.0,184660000.0,0.0,18320000000.0,89461502.37,61094186.33,14297202.22,45534712.68,20354476.1,93076413.69,60465706.95,58713212.39,50293215.28,19900053.24,81978766.26,52812616.62,26169979.05,19998826.87,56966173.38,26574123.73,19037899.16,21732925.88,23043552.18,47042997.39,86.69,97.86,44.31,38.04,57.92,26.83,80.14,90.69,33.86,19.65
634,Divanoodle,Brazil,BRL,309270000.0,40.5,104390000.0,2900000000.0,30310000.0,103880000.0,142060000.0,356440000.0,3600000000.0,2200000000.0,2760000000.0,58640000000.0,36006743.63,85645682.4,62940881.75,49608253.95,7875489.94,33074140.12,10865477.26,69104984.89,58774204.91,69759766.84,10720386.68,84718555.52,83282911.69,2128182.97,85345969.96,76448815.61,52441351.47,89552308.55,19680593.61,65196018.33,18.24,54.43,58.82,19.01,89.91,45.94,24.99,39.82,59.58,84.9
113,Skimia,Canada,CAD,6960000000.0,75.8,104390000.0,47360000.0,283570000.0,106790000.0,47650000.0,4500000000.0,25340000000.0,1090000000.0,83660000000.0,8930000000.0,27626475.21,65368670.75,41788858.26,53952008.1,16132560.55,61699573.99,98301075.22,28809717.48,90298448.66,1758251.06,66266048.44,23831556.92,38961583.82,66587637.15,67607210.32,3882780.83,13239933.14,50863830.18,90223081.45,36109354.52,17.03,3.38,5.14,58.64,28.76,21.92,2.11,27.09,69.28,50.43
195,Oozz,China,CNY,3790000000.0,28.3,104920000.0,259779999.99999997,3630000000.0,0.0,3500000000.0,3230000000.0,388090000.0,118370000.0,84980000.0,49630000000.0,50065844.58,73813741.96,36035920.64,78416129.77,57404445.88,4975817.63,3763342.41,53961279.44,60430342.69,10306437.42,57193100.74,87314716.39,11228604.69,1473982.66,55592797.48,85558807.13,26511166.04,80866491.11,35592528.65,54853060.67,80.41,89.47,44.46,72.77,39.01,42.49,16.48,92.47,25.46,68.7
906,Gabtune,Poland,PLN,789190000.0,54.3,1040000000.0,40170000.0,10470000000.0,258600000.00000003,10720000.0,84310000.0,650540000.0,9350000000.0,4690000000.0,1240000000.0,24299810.36,15486224.34,21538173.81,20337286.44,52764633.3,99023968.56,95586659.75,72052627.78,21543527.1,40013406.06,88285568.39,93419120.64,11259275.78,95078523.77,11694931.22,62146531.6,6077518.6,59367953.86,6050586.7,99111129.36,40.53,88.68,38.94,28.67,79.99,78.55,13.85,94.13,2.02,55.62
595,Dabfeed,Italy,EUR,0.0,61.8,1040000000.0,5970000000.0,311290000.0,90190000.0,431690000.0,197050000.0,0.0,50090000000.0,0.0,0.0,73058607.13,85701838.98,16700620.11,87325656.62,56004777.29,61588774.88,76805882.68,91111475.27,54606783.71,36995472.56,90089996.97,17775668.15,14799594.8,18938014.29,67825998.78,27704550.33,19558954.33,82790772.41,4919106.19,98963515.14,37.25,68.37,59.33,26.24,66.28,32.87,46.11,26.25,87.77,2.96
452,Eayo,Sweden,SEK,35860000000.0,87.8,1040000000.0,21260000.0,154120000.0,979510000.0,71340000.0,13870000.0,2170000000.0,105450000.0,29110000.0,305600000.0,6125387.44,32945336.03,72780276.61,67490074.65,60810339.67,52352632.93,93773767.75,98239952.31,40957978.57,68998177.72,6901006.23,47715258.3,40945138.68,9546423.02,21464179.68,77949279.67,67360756.67,37371253.04,44101464.25,83675792.79,88.45,41.32,85.78,69.51,25.06,68.85,17.61,47.19,57.89,61.44
889,Jaxspan,Greece,EUR,12160000.0,43.7,1040000000.0,21140000000.0,3820000000.0,15920000000.0,1040000000.0,1450000000.0,5200000000.0,5610000.0,14090000000.0,0.0,89812777.59,91855720.7,30130497.79,70996613.62,64699169.84,78912420.66,49690311.74,95205483.8,94522882.87,51232417.6,75482393.6,79586690.4,96600752.67,40061724.53,39291669.96,99475885.19,6478352.95,96578104.02,32109822.17,95977342.11,78.19,98.05,54.72,3.92,57.21,83.67,59.55,96.15,89.11,23.54
97,Jabberbean,China,CNY,58280000.0,61.5,1050000000.0,10530000000.0,0.0,290700000.0,1260000000.0,78030000000.0,883270000.0,740260000.0,261620000.0,1230000000.0,40693697.93,9441170.68,53307035.17,2119541.35,86898165.52,28698685.35,16948870.44,54573426.8,48913544.27,77552132.65,29512533.0,1812102.59,62132855.25,95645492.96,49396902.75,61181434.14,51127250.48,96828772.82,74663409.54,77920239.77,86.37,74.7,50.17,27.18,85.63,46.66,99.75,86.44,74.35,87.61
974,Kwilith,United States,USD,0.0,25.7,10720000.0,152930000.0,0.0,1820000000.0,1140000.0,1200000000.0,16649999999.999998,1700000000.0,121110000.0,591490000.0,1013457.76,11752825.94,37230040.09,1294701.86,26695384.63,53392552.41,54440974.55,36532730.56,41311228.24,68587972.69,92670728.18,98169871.37,17481767.7,22551677.79,27909133.06,335518.83,28065738.16,68741212.49,66381931.47,22718751.41,99.66,46.11,99.63,86.31,18.81,74.58,97.89,13.14,50.64,35.77
840,Youspan,China,CNY,492780000.0,42.6,10760000000.0,311180000.0,33290000000.0,3500000000.0,0.0,193590000000.0,1870000000.0,27940000000.0,2420000000.0,50340000000.0,43779597.14,57158095.65,12880970.62,54366018.58,24891323.56,80253531.49,82814928.62,13592578.49,28609534.22,48329814.52,28472417.77,1714393.31,80700474.35,13386395.73,15324138.89,91760393.34,20363223.35,97754885.31,84700833.39,47134929.15,15.59,91.96,3.13,3.93,97.29,12.71,80.16,73.19,24.04,75.57
645,Leexo,Indonesia,IDR,0.0,72.0,1070000000.0000001,154070000.0,1260000000.0,0.0,343540000.0,40950000.0,288730000.0,2950000000.0,69300000.0,22070000000.0,80905402.82,64829316.48,21337892.79,66534325.89,39568925.51,44140567.47,63256208.56,10398855.41,60370367.25,60107382.89,50593537.11,32185174.66,66990245.37,91277357.98,41945966.38,52267506.47,17876378.27,74076754.24,39750517.94,68771496.93,24.01,85.45,11.68,21.52,56.38,32.4,91.71,9.7,15.83,92.03
393,Skyble,China,CNY,0.0,55.1,10850000000.0,1150000000.0,97070000.0,5640000000.0,18660000.0,354290000.0,61720000.0,666520000.0,304810000.0,9900000000.0,66969384.51,35293958.0,39475021.0,65630578.2,8204094.87,89574591.78,82157307.51,81051077.8,7293720.4,64437475.56,38237365.47,24729829.27,97074971.76,4459596.76,45494406.25,4864580.92,17696301.43,56550951.81,43686602.46,32988053.79,21.73,91.56,36.66,4.91,32.34,27.45,49.73,10.05,46.5,62.99
726,Thoughtworks,Portugal,EUR,0.0,22.7,108910000.0,86970000.0,147550000.0,7360000.0,27170000000.0,22770000000.0,122880000.0,112200000.0,30920000.0,94060000.0,35443928.02,50283773.58,23621607.95,16638320.07,31367165.03,48869442.03,47717474.61,86235430.71,88550930.64,79704865.44,91313828.18,49756378.56,29901354.33,32415364.55,91398080.74,4469583.79,72752737.54,77818156.62,51994295.83,77838070.29,61.85,88.14,91.34,64.39,5.0,38.73,43.0,4.2,81.82,65.6
659,Yamia,China,CNY,2029999999.9999998,67.6,1080000000.0,0.0,33040000.0,12930000.0,32900000000.0,0.0,7760000000.0,0.0,0.0,0.0,32945430.69,34690027.39,9903210.0,59726906.19,18893055.0,33920235.77,44185697.16,31899412.7,81917884.83,38250798.71,88323377.22,73652099.87,81488589.78,88022163.04,565935.09,35059945.41,2591161.72,36475558.07,92488606.06,76889177.7,92.99,21.83,26.65,38.26,54.91,73.64,8.18,30.34,64.24,88.03
792,Thoughtsphere,Sweden,SEK,0.0,64.1,10920000000.0,177780000.0,212140000.0,0.0,9010000000.0,392729.7,0.0,383030000.0,222810000.0,588870000.0,78473702.18,99533340.31,344773.56,14867759.62,32377164.11,73777160.47,79782798.22,497630.39,14594021.55,80918859.83,46597579.53,81123695.43,36428174.12,58457571.02,64652390.66,8955258.02,79586725.79,71379507.68,59113137.98,13002562.71,70.78,25.86,72.83,80.21,62.28,17.19,4.41,70.33,90.3,57.58
